ID,ClientPrefix,ClientFileString,Name_lang,Name_female_lang,Name_lowercase_lang,Name_female_lowercase_lang,Lore_name_lang,Lore_name_female_lang,Lore_name_lower_lang,Lore_name_lower_female_lang,LoreDescription_lang,Short_name_lang,Short_name_female_lang,Short_name_lower_lang,Short_name_lower_female_lang,Flags,FactionID,CinematicSequenceID,ResSicknessSpellID,SplashSoundID,CreateScreenFileDataID,SelectScreenFileDataID,LowResScreenFileDataID,AlteredFormStartVisualKitID[0],AlteredFormStartVisualKitID[1],AlteredFormStartVisualKitID[2],AlteredFormFinishVisualKitID[0],AlteredFormFinishVisualKitID[1],AlteredFormFinishVisualKitID[2],HeritageArmorAchievementID,StartingLevel,UiDisplayOrder,PlayableRaceBit,TransmogrifyDisabledSlotMask,AlteredFormCustomizeOffsetFallback[0],AlteredFormCustomizeOffsetFallback[1],AlteredFormCustomizeOffsetFallback[2],AlteredFormCustomizeRotationFallback,Field_9_1_0_38312_030[0],Field_9_1_0_38312_030[1],Field_9_1_0_38312_030[2],Field_9_1_0_38312_031[0],Field_9_1_0_38312_031[1],Field_9_1_0_38312_031[2],BaseLanguage,CreatureType,Alliance,Race_related,UnalteredVisualRaceID,DefaultClassID,NeutralRaceID,MaleModelFallbackRaceID,MaleModelFallbackSex,FemaleModelFallbackRaceID,FemaleModelFallbackSex,MaleTextureFallbackRaceID,MaleTextureFallbackSex,FemaleTextureFallbackRaceID,FemaleTextureFallbackSex,HelmetAnimScalingRaceID,UnalteredVisualCustomizationRaceID
1,Hu,Human,Humain,Humaine,humain,humaine,Humain,,Humain,,Les nobles Humains de Hurlevent forment l’avant-garde de l’Alliance fondée pour lutter contre les ennemis d’Azeroth.,Humain,,Humain,,6292620,1,81,15007,1096,623712,131948,651555,0,0,0,47268,47268,47268,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,2,0,1,0,0,-1,0,-1,0,-1,0,3,0,0
2,Or,Orc,Orc,Orque,orc,orque,Orc,,Orc,,"Arrivés sur Azeroth en conquérants, les redoutables Orcs s’efforcent aujourd’hui de recouvrer leur honneur et leurs traditions perdus.",Orc,,Orc,,6291596,2,21,15007,1096,623714,132003,651558,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.077,0,0,0.07,0,1,7,1,1,0,1,0,0,-1,0,-1,0,-1,0,-1,0,0
3,Dw,Dwarf,Nain,Naine,nain,naine,Nain,,Nain,,Les robustes Nains de Forgefer sont des explorateurs de grand renom qui cherchent à percer les secrets immémoriaux du monde.,Nain,,Nain,,6291596,3,41,15007,1090,623712,131940,651555,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,7,7,0,8,0,3,0,0,-1,0,-1,0,-1,0,-1,0,0
4,Ni,NightElf,Elfe de la nuit,Elfe de la nuit,elfe de la nuit,elfe de la nuit,Kaldoreï,,kaldoreï,,Le peuple mystique des Elfes de la nuit défend les contrées sauvages d’Azeroth contre quiconque cherche à compromettre l’équilibre naturel.,Elfe,,elfe,,6291588,4,61,15007,1096,623712,131993,651555,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,7,7,0,5,0,11,0,0,-1,0,-1,0,-1,0,-1,0,0
5,Sc,Scourge,Mort-vivant,Morte-vivante,mort-vivant,morte-vivante,Réprouvé,,Réprouvé,,"Ramenés d’entre les morts, les Réprouvés se sont forgé un avenir prometteur sur les ruines d’un passé des plus sombres.",Mort-vivant,,Mort-vivant,,6291596,5,2,15007,1096,623714,132035,651558,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0.1,0,0,0.1,0,1,7,1,4,0,9,0,0,-1,0,-1,0,-1,0,-1,0,0
6,Ta,Tauren,Tauren,Taurène,tauren,taurène,Shu’halo,,shu’halo,,Les colosses taurens servent leur précieuse Terre-Mère en préservant coûte que coûte l’équilibre de la nature.,Tauren,,Tauren,,6291590,6,141,15007,1096,623714,132046,651558,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0.085,0,0,0.085,0,1,7,1,7,0,7,0,0,-1,0,-1,0,-1,0,-1,0,0
7,Gn,Gnome,Gnome,Gnome,gnome,gnome,Gnome,,Gnome,,"Malgré leur petite taille, les Gnomes déploient des trésors d’ingéniosité pour créer d’innombrables merveilles technologiques.",Gnome,,Gnome,,6291596,115,101,15007,1096,623712,430171,651555,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,7,7,0,6,0,9,0,0,-1,0,-1,0,-1,0,-1,0,0
8,Tr,Troll,Troll,Trollesse,troll,trollesse,Sombrelance,,Sombrelance,,"Chassés de leur jungle natale par des tribus rivales, les Trolls sombrelances ont allié leurs forces à celles de la puissante Horde.",Troll,,Troll,,6291598,116,121,15007,1096,623714,429097,651558,0,0,0,0,0,0,0,1,0,7,0,0,0,0,0,0,0.095,0,0,0.095,0,1,7,1,3,0,7,0,0,-1,0,-1,0,-1,0,-1,0,0
9,Go,Goblin,Gobelin,Gobeline,gobelin,gobeline,Baille-Fonds,,Baille-Fonds,,"Aussi inventifs que téméraires, les Gobelins sont célèbres pour leurs talents d’ingénieurs et de commerçants.",Gobelin,,Gobelin,,6291716,2204,172,15007,1096,623714,319097,651558,0,0,0,0,0,0,0,1,10,8,0,0,0,0,0,0,0.1,0,0,0.09,0,1,7,1,22,0,4,0,0,-1,0,-1,0,-1,0,-1,0,0
10,Be,BloodElf,Elfe de sang,Elfe de sang,elfe de sang,elfe de sang,Sin’dorei,,Sin’dorei,,"Survivants d’une guerre sans merci, les Elfes de sang ont puisé des forces dans le Puits de soleil afin de rebâtir leur royaume.",Elfe,,elfe,,6291596,1610,162,15007,1096,623714,131921,651558,0,0,0,0,0,0,0,1,9,9,0,0,0,0,0,0,0.087,0,0,0.087,0,1,7,1,11,0,8,0,0,-1,0,-1,0,-1,0,-1,0,0
11,Dr,Draenei,Draeneï,Draeneï,draeneï,draeneï,Draeneï,,Draeneï,,Les Draeneï ont fui la corruption démoniaque et mis leur puissance au service de la défense d’Azeroth.,Draeneï,,Draeneï,,6291598,1629,163,15007,1096,623712,131934,651555,0,0,0,0,0,0,0,1,0,10,0,0,0,0,0,0,0,0,0,0,0,7,7,0,10,0,2,0,0,-1,0,-1,0,-1,0,-1,0,0
12,Fo,FelOrc,Gangr'orc,Gangr'orque,gangr’orc,gangr’orque,,,,,,,,,,262149,1,0,15007,1096,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,7,7,2,0,0,0,0,0,-1,0,-1,0,-1,0,-1,0,0
13,Na,Naga_,Naga,Naga,naga,naga,,,,,,,,,,1,1,0,15007,1096,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,7,7,2,0,0,0,0,0,-1,0,-1,0,-1,0,-1,0,0
14,Br,Broken,Roué,Rouée,roué,rouée,,,,,,,,,,5,1,0,15007,1096,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,7,7,2,0,0,0,0,0,-1,0,-1,0,-1,0,-1,0,0
15,Sk,Skeleton,Squelette,Squelette,squelette,squelette,,,,,,,,,,1,1,0,15007,1096,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,7,7,2,0,0,0,0,5,0,5,1,5,0,5,1,0,0
16,Vr,Vrykul,Vrykul,Vrykule,vrykul,vrykule,,,,,,,,,,9,1,0,15007,1096,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,7,7,2,0,0,0,0,0,-1,0,-1,0,-1,0,-1,0,0
17,Tu,Tuskarr,Rohart,Rohart,rohart,rohart,,,,,,,,,,262145,1,0,15007,1096,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,7,7,2,0,0,0,0,0,-1,0,-1,0,-1,0,-1,0,0
18,Ft,ForestTroll,Troll des forêts,Trollesse des forêts,troll des forêts,trollesse des forêts,,,,,,,,,,15,1,0,15007,1096,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,7,7,2,0,0,0,0,0,-1,0,-1,0,-1,0,-1,0,0
19,Wt,Taunka,Taunka,Taunka,taunka,taunka,,,,,,,,,,5,1,0,15007,1096,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,7,7,2,0,0,0,0,0,-1,0,-1,0,-1,0,-1,0,0
20,NS,NorthrendSkeleton,Squelette du Norfendre,Squelette du Norfendre,squelette du Norfendre,squelette du Norfendre,,,,,,,,,,5,1,0,15007,1096,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,7,7,2,0,0,0,0,0,-1,0,-1,0,-1,0,-1,0,0
21,It,IceTroll,Troll des glaces,Trollesse des glaces,troll des glaces,trollesse des glaces,,,,,,,,,,5,1,0,15007,1096,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,7,7,2,0,0,0,0,0,-1,0,-1,0,-1,0,-1,0,0
22,Wo,Worgen,Worgen,Worgen,worgen,worgen,Gilnéen,,Gilnéen,,"Victimes d’une malédiction qui les a transformés en redoutables Worgens, les anciens Humains de Gilnéas mettent leur férocité au service de leurs alliés.",Worgen,,Worgen,,6291526,2203,170,15007,1096,623712,313254,651555,0,47273,0,47268,47239,47268,0,1,0,21,0,-5.35,2.1,-0.5,0.2,0,0,0,0,0,0,7,7,0,9,1,4,0,0,-1,0,-1,0,-1,0,-1,0,23
23,Hu,Human,Gilnéen,Gilnéenne,gilnéen,gilnéenne,,,,,The worgen were first unleashed upon the Eastern Kingdoms by Archmage Arugal. <PH>,,,,,237,1,0,15007,1096,623712,313254,651555,0,0,0,47268,47268,47268,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0,1,0,1,1,1,0,1,1,0,0
24,Pa,Pandaren,Pandaren,Pandarène,pandaren,pandarène,Pandaren,,Pandaren,,"Curieux et spirituels, les Pandarens sont de grands amateurs de bonne chère, de breuvages et d’aventure.",Pandaren,,Pandaren,,6543380,2395,259,15007,1096,623716,574549,651561,0,0,0,0,0,0,0,1,0,23,0,0,0,0,0,0,0,0,0,0,0,42,7,2,0,0,10,0,0,-1,0,-1,0,-1,0,-1,0,0
25,Pa,Pandaren,Pandaren,Pandarène,pandaren,pandarène,Tushui,,Tushui,,"Curieux et spirituels, les Pandarens sont de grands amateurs de bonne chère, de breuvages et d’aventure.",Pandaren,,Pandaren,,211460,2401,259,15007,1096,623712,574549,651555,0,0,0,0,0,0,0,1,0,24,0,0,0,0,0,0,0,0,0,0,0,7,7,0,26,0,10,24,24,0,24,1,24,0,24,1,0,0
26,Pa,Pandaren,Pandaren,Pandarène,pandaren,pandarène,Huojin,,Huojin,,"Curieux et spirituels, les Pandarens sont de grands amateurs de bonne chère, de breuvages et d’aventure.",Pandaren,,Pandaren,,211460,2402,259,15007,1096,623714,574549,651558,0,0,0,0,0,0,0,1,0,25,0,0,0,0,0,0,0,0,0,0,0,1,7,1,25,0,10,24,24,0,24,1,24,0,24,1,0,0
27,Nb,Nightborne,Sacrenuit,Sacrenuit,sacrenuit,sacrenuit,Shal’dorei,,Shal’dorei,,"En 10 000 ans de réclusion à Suramar, les Sacrenuit ont acquis une maîtrise inégalée des arts arcaniques.",Elfe,,Elfe,,11010052,1610,0,15007,1096,623714,1662240,651558,0,0,0,0,0,0,12413,10,1,26,0,0,0,0,0,0,0.087,0,0,0.087,0,1,7,1,29,0,8,0,4,0,4,1,4,0,4,1,0,0
