CustomGossipDescriptionString_lang,CompletedOptionDescriptionString_lang,ID,GossipMenuID,UiTextureKitID
"El Salón de Skoldus es solo uno de los incontables bloques de celdas de Torghast. El Celador Skoldus usa bestias, cadenas y trampas para atormentar a sus prisioneros y a los que irrumpen en su dominio.",Recompensa recibida. Vuelve a completar este nivel para obtener un poco más de ceniza de alma.,1,26048,5352
,,2,26191,5336
,,3,26192,5336
"Las Cámaras de Fractura albergan a los prisioneros de las Tierras de las Sombras. Aquí, sus huesos se rompen y sanan una y otra vez en un ciclo cruel de tortura. Libéralos para que puedan vengarse.",Recompensa recibida. Vuelve a completar este nivel para obtener un poco más de ceniza de alma.,4,26375,5354
"El Intersticio Despiadado, hogar de los kyrian jurafauces, está suspendido entre los pináculos de Torghast. Ahí, atacan desde las alturas y lanzan a los intrusos imprudentes hacia la oscuridad que hay abajo.",Recompensa recibida. Vuelve a completar este nivel para obtener un poco más de ceniza de alma.,5,26377,5355
"Al igual que el terreno cambiante y deformado, las almas atrapadas en Mort'regar han perdido todo aspecto de lo que alguna vez fueron. Las fuerzas del carcelero las someten a experimentos nigrománticos y las transforman en monstruosidades horribles.",Recompensa recibida. Vuelve a completar este nivel para obtener un poco más de ceniza de alma.,6,26378,5353
La Parte Alta es el dominio de los sirvientes más devotos del Carcelero. Fuerzas de jurafauces de élite y sus aliados venthyr patrullan estos salones y se encargan de las defensas más poderosas de su amo.,Recompensa recibida. Vuelve a completar este nivel para obtener un poco más de ceniza de alma.,7,26379,5357
"Acorde a su nombre, los Corredores Retorcidos serpentean de modo impredecible a lo largo de todos los bloques de celdas de Torghast y están bajo la protección de toda clase de esbirros del Carcelero. Aquellos intrépidos que se aventuran en sus 18 pisos casi nunca regresan.",Recompensa recibida,8,26380,5358
Las almas condenadas son enviadas a la Fragua de Almas para fundirlas y convertirlas en armaduras y armas para el ejército del Carcelero. Ten cuidado con las llamas sin control que arden en estos salones.,Recompensa recibida. Vuelve a completar este nivel para obtener un poco más de ceniza de alma.,9,26376,5356
"El Salón de Skoldus es solo uno de los incontables bloques de celdas de Torghast. El Celador Skoldus usa bestias, cadenas y trampas para atormentar a sus prisioneros y a los que irrumpen en su dominio.",Recompensa recibida. Vuelve a completar este nivel para obtener un poco más de ceniza de alma.,10,26655,5352
"Las Cámaras de Fractura albergan a los prisioneros de las Tierras de las Sombras. Aquí, sus huesos se rompen y sanan una y otra vez en un ciclo cruel de tortura. Libéralos para que puedan vengarse.",Recompensa recibida. Vuelve a completar este nivel para obtener un poco más de ceniza de alma.,11,26656,5354
Las almas condenadas son enviadas a la Fragua de Almas para fundirlas y convertirlas en armaduras y armas para el ejército del Carcelero. Ten cuidado con las llamas sin control que arden en estos salones.,Recompensa recibida. Vuelve a completar este nivel para obtener un poco más de ceniza de alma.,12,26657,5356
"El Intersticio Despiadado, hogar de los kyrian jurafauces, está suspendido entre los pináculos de Torghast. Ahí, atacan desde las alturas y lanzan a los intrusos imprudentes hacia la oscuridad que hay abajo.",Recompensa recibida. Vuelve a completar este nivel para obtener un poco más de ceniza de alma.,13,26658,5355
"Al igual que el terreno cambiante y deformado, las almas atrapadas en Mort'regar han perdido todo aspecto de lo que alguna vez fueron. Las fuerzas del carcelero las someten a experimentos nigrománticos y las transforman en monstruosidades horribles.",Recompensa recibida. Vuelve a completar este nivel para obtener un poco más de ceniza de alma.,14,26659,5353
La Parte Alta es el dominio de los sirvientes más devotos del Carcelero. Fuerzas de jurafauces de élite y sus aliados venthyr patrullan estos salones y se encargan de las defensas más poderosas de su amo.,Recompensa recibida. Vuelve a completar este nivel para obtener un poco más de ceniza de alma.,15,26660,5357
"Acorde a su nombre, los Corredores Retorcidos serpentean de modo impredecible a lo largo de todos los bloques de celdas de Torghast y están bajo la protección de toda clase de esbirros del Carcelero. Aquellos intrépidos que se aventuran en sus 18 pisos casi nunca regresan.|n|nLa caja de contenidos numerosos no tiene efecto en este sitio.",Recompensa recibida,16,26661,5358
,,17,25967,5283
,,18,26513,5283
,,19,26517,5287
,,20,26516,5285
,,21,26514,5302
,,22,26131,5283
,,23,26132,5302
,,24,26133,5287
,,25,26041,5285
,,26,26324,5283
,,27,26323,5283
,,28,26327,5283
,,29,26322,5283
,,30,26326,5283
,,31,26328,5287
,,32,26342,5287
,,33,26344,5287
,,34,26341,5287
,,35,26343,5287
,,36,26346,5302
,,37,26347,5302
,,38,26348,5302
,,39,26345,5302
,,40,26349,5302
,,41,26356,5285
,,42,26355,5285
,,43,26358,5285
,,44,26354,5285
,,45,26357,5285
Las Bóvedas Adamantinas recién descubiertas son el sitio donde el Carcelero encierra a algunos de sus prisioneros más odiados.,Recompensa recibida. Vuelve a completar este nivel para obtener un poco más de ceniza de alma.,46,26812,5354
"Atraviesa 8 pisos repletos de criaturas y jefes de todas las alas de Torghast. Cuanto más subes, más aumenta la dificultad.|n|nSe recomienda traer amigos.|n|nLa caja de contenidos numerosos no tiene efecto en este sitio.",Recompensa recibida,47,27436,5358
"Atraviesa 8 pisos repletos de criaturas y jefes de todas las alas de Torghast. Cuanto más subes, más aumenta la dificultad.|n|nSe recomienda traer amigos.|n|nLa caja de contenidos numerosos no tiene efecto en este sitio.",Recompensa recibida,48,27491,5358
,,50,32917,5551
,,51,32924,5551
,,52,33048,5551
,,53,33148,5551
,,54,33198,5551
,,56,33340,5551
,,57,33398,5551
,,58,33426,5551
,,59,33664,5551
,,60,33804,5551
,,61,33912,5551
,,63,33965,5551
,,64,34040,5551
,,65,36702,5551
,,66,37069,5551
,,68,37309,5551
