ID,Name_lang,Description_lang,MapID,BackgroundFileDataID,ButtonFileDataID,ButtonSmallFileDataID,LoreFileDataID,Flags,AreaID,CovenantID
63,죽음의 폐광,"한때는 죽음의 폐광에서 캐낸 금이 스톰윈드 보물 저장실의 3분의 1을 채웠다고들 합니다. 그러나 1차 대전쟁의 혼란 속에서 죽음의 폐광은 버려졌고, 나중에는 저주받은 곳 취급을 받았습니다. 비교적 사람의 손길이 닿지 않은 이 미로에 데피아즈 결사단이 둥지를 틀었습니다. 과거에는 건실한 노동자였으나 이제는 무법자로 변해 버린 데피아즈단은 스톰윈드 전복을 꾀하며 이곳에서 작전을 세우고 있습니다.",36,522336,522352,136332,526404,1,1581,0
64,그림자송곳니 성채,"은빛소나무 숲 남쪽 절벽에 우뚝 솟은 그림자송곳니 성채는 그 역사만큼이나 어두운 그림자를 장작나무 마을에 드리우고 있습니다. 과거 대마법사 아루갈의 늑대인간들이 장악했던 이 폐허는 이제 사악한 세력의 보금자리입니다. 남작 실버레인의 잠들지 못한 영혼이 성채를 떠돌고, 고드프리 경과 길니아스의 옛 귀족들로 이루어진 패거리가 산 자와 죽은 자 모두를 파멸에 몰아넣을 계획을 꾸미고 있습니다.",33,522342,522358,136357,526410,0,0,0
65,파도의 왕좌,"파도의 왕좌는 심연의 구렁 깊숙한 곳에 자리 잡고 있습니다. 위대한 정령 군주인 바다사냥꾼 넵튤론은 오랫동안 이곳에서 물의 영지를 살펴보고 보호해 왔습니다. 이제 그에게 엄청난 시련이 닥쳐왔습니다. 비늘 달린 나가와 사악한 얼굴 없는 자들이 쳐들어와, 넵튤론을 왕좌에서 끌어내리고 그의 영지와 그 안에 담긴 비밀을 빼앗으려 합니다.",643,522346,522362,460875,526413,1,5382,0
66,검은바위 동굴,"소문에 의하면 황혼의 망치단은 지하 미로를 이용해 하이잘 산에서 검은바위 산으로 비밀스럽게 정령을 이동시키며, 그 미로를 뚫은 이는 바로 데스윙이라고 합니다. 이 어둠의 경로에서 중심지 역할을 하는 곳이 바로 검은바위 동굴입니다. 이교도가 들끓는 이곳에서는 황혼의 망치단 이교도가 황혼의 용족으로 탈바꿈하는 등, 가장 극악무도한 실험이 자행됩니다.",645,522334,522350,460859,526402,1,5374,0
67,바위심장부,"바위심장부는 심원의 영지 깊숙한 곳, 대지의 사원 안에 자리 잡고 있습니다. 바로 이 동굴 안에서 황혼의 망치단이 데스윙의 몸에 엘레멘티움을 덧씌워, 그의 찢긴 몸을 힘겹게 봉합했습니다. 몸이 회복되자 데스윙은 아제로스를 향해 날아올랐고, 그 와중에 세계 기둥이 부서지면서 심원의 영지는 불안정해지고 말았습니다.",725,522344,522360,460872,526412,1,5303,0
68,소용돌이 누각,"소용돌이 누각은 정령계인 하늘담 안에 있습니다. 순수한 공기의 소용돌이로 연결되는 단 위에는 금과 동이 씌워진 우아한 건물이 솟아 있습니다. 그러나 아름다운 외관 뒤에는 바람의 군주 알아키르의 무자비한 정령 군대와 네페르세트 톨비르가 버티고 있습니다. 하늘담과 아제로스의 경계가 무너져 있는 한, 울둠은 하늘에서 내려오는 공포에서 벗어날 수 없을 것입니다.",657,522345,522361,460873,526414,1,5583,0
69,톨비르의 잃어버린 도시,톨비르의 잃어버린 도시는 표범을 닮은 네페르세트 톨비르의 요새입니다. 이들은 육체의 저주를 치료받아 부드러운 피부를 돌 같은 가죽으로 되돌리는 대신 데스윙에게 충성을 약속했습니다. 저주가 사라지자 네페르세트는 은인에게 반기를 들었습니다. 그러나 이들은 어둠의 맹약에 의해 여전히 뒤틀려 있으며 공격적입니다.,755,522341,522357,460866,526409,1,0,0
70,시초의 전당,"위대한 티탄이 세운 시초의 전당은 고대 유물, 그리고 그 유물을 지키는 무시무시한 수호자들이 가득한 곳입니다. 또한 이 시설에는 모든 생명을 아제로스가 형성되기 전의 기본적인 요소로 되돌릴 수 있는 엄청난 무기가 있다는 소문도 들려옵니다. 데스윙은 바람의 군주 알아키르에게 이 끔찍한 장치를 손에 넣으라는 명령을 내렸습니다. 현재 이 시설 안의 통신 시스템은 완전히 변질되었지만, 무기 자체에는 아직도 데스윙의 손길이 닿지 않았습니다.",644,522340,522356,460865,526408,0,0,0
71,그림 바톨,"그림 바톨의 수수한 외관에 속아서는 안 됩니다. 이 산중 요새의 황폐한 전당은 황혼의 고원 깊숙이까지 뻗어 있습니다. 한때 와일드해머 드워프의 요새였다가 훗날 오크에게 넘어가 알렉스트라자를 가두는 감옥으로 쓰였던 이 도시는, 이제 황혼의 망치단 이교도의 손아귀에 넘어갔습니다.

혹시라도 이 음울한 요새에 침투하는 용감한 영웅들은 그림 바톨에 도사린 알 수 없는 악을 몰아내기 위해 데스윙의 요원들을 상대해야 할 것입니다.",670,522338,522354,460863,526406,0,0,0
72,황혼의 요새,"황혼의 요새는 고대 신이 아제로스에 미치는 영향력이 점점 강해지고 있음을 잘 보여주는 암울한 상징입니다. 이교도의 총본산인 그 육중한 건물 안에는 다양한 황혼의 망치단 분파와 뒤틀린 그들의 지도자 초갈이 거합니다. 요새 안에서 초갈과 그의 부하들은 아제로스에서 모든 이성, 희망, 생명을 말살하고 고대 신들이 꿈꾸는 종말을 실현할 음모를 꾸미고 있습니다.",671,522339,522355,460863,526407,0,0,0
