Name_lang,Description_lang,Map[0],Map[1],ID,JournalInstanceID,DungeonEncounterID,OrderIndex,FirstSectionID,UiMapID,MapDisplayConditionID,Flags,DifficultyMask
Glubtok,"In einem Wutanfall entfesselte Glubtok seine mächtigen magischen Fähigkeiten und verwandelte seinen Ogerhügel zu Asche. Als die Defiasbruderschaft von seinen zerstörerischen Talenten hörte, heuerten sie den riesigen Ogermagier für die Überwachung der Arbeiter als ersten Vorsteher in den Todesminen an.",0.3652697,0.6122755,89,63,2976,1,2010,291,54460,2,1
Helix Ritzelbrecher,"Als Handwerker im Bilgewasserkartell hätte Helix niemals eine so fantastische Summe verdienen können, wie sie ihm die Bruderschaft der Defias versprochen hat. Es fiel ihm nicht schwer, die Stelle anzunehmen und seine vorherigen Verpflichtungen abzulegen... genau wie es jeder andere Goblin mit Verstand getan hätte.",0.50199604,0.8682636,90,63,2977,2,2020,291,54460,2,1
Feindschnitter 5000,"Die Ingenieure der Defias haben viele Jahre damit verbracht, ein neues Erntemaschinenmodell auf der Grundlage des Feindschnitters 4000 zu entwerfen. Nach seiner Fertigstellung, so glaubt die Bruderschaft, wird dieser mechanische Schrecken sich durch Sturmwinds gepanzerte Truppen mähen wie eine Sense durch das Korn.",0.12475067,0.75898206,91,63,2975,3,3448,292,54460,2,1
Admiral Knurrreißer,"Als James Harrington mit dem Fluch der Worgen belegt wurde, vernichtete er seine geliebte Familie und seine Karriere als Seemann in einer einzigen Nacht voller kaltblütiger Mordlust. Er gab sich den Namen Knurrreißer und floh nach Westfall, wo er später einwilligte, das Kommando über den furchteinflößenden ""Moloch"" der Bruderschaft der Defias zu übernehmen.",0.60479087,0.38772452,92,63,2974,4,2044,292,54460,2,1
"""Kapitän"" Krümel","Krümel ernannte sich selbst zum Kapitän der ""Moloch"" der Bruderschaft der Defias, nachdem der vorherige Kommandant gestorben war. Zwar erfüllt er noch immer die Rolle des offiziellen Schiffskochs, aber jeder, der seinen Kapitänstitel angezweifelt hat, ist mysteriöserweise den Folgen einer schweren Nahrungsmittelvergiftung erlegen.",0.60479087,0.4550898,93,63,2973,5,2055,292,54460,2,1
Vanessa van Cleef,"Als junges Mädchen musste Vanessa den grauenvollen Tod ihres Vaters, dem ehemaligen Anführer der Bruderschaft der Defias, Edwin van Cleef, mit ansehen. Seitdem hat sie die Führung der Bruderschaft übernommen und plant in den dunklen Gängen der Todesminen, dem Machtzentrum der Defias, ihre Rache an Sturmwind.",0.6546913,0.40269458,95,63,1081,6,2060,292,54460,2,2
Baron Ashbury,"Nachdem er von Worgen getötet wurde und von den Verlassenen zum Untod wiederbelebt wurde, spielt der verräterische Baron Ashbury jetzt gern mit seinen Gegnern. Er mag es besonders, seine Feinde am Leben zu erhalten, damit er ihnen so viel Schmerz und Leid zufügen kann, wie möglich.",0.66467136,0.732036,96,64,1069,1,2107,310,0,0,-1
Baron Silberlein,"Baron Silberlein war der Burgherr, bevor die Burg in die Hände von Arugals Worgen fiel. Jetzt ruft sein verfluchter Geist dieselben Wolfsbestien herbei, die ihn auf dem Gewissen haben, um neue Eindringlinge in sein Zuhause zu bestrafen.",0.30439156,0.7739521,97,64,1070,2,2118,311,0,0,-1
Kommandant Grüntal,"Ein treuer Soldat, der Geist von Kommandant Grüntal, spukt in der Ratskammer und setzt unheilige Angriffe ein, um seinen Herrn, Baron Silberlein, zu rächen.",0.2804395,0.5973054,98,64,1071,3,2137,310,0,0,-1
Lord Walden,"Die rechte Hand von Godfrey, der arrogante Lord Walden, hat geschworen, seinem Landsmann um jeden Preis zu dienen, auch wenn dieser Preis der Tod sein sollte. Als Untoter hält Walden nun sein Wort und greift seine Gegner mit Eis und Gift an.",0.5449104,0.53742516,99,64,1073,4,2156,313,0,0,-1
