ID,Name_lang,Description_lang,MapID,BackgroundFileDataID,ButtonFileDataID,ButtonSmallFileDataID,LoreFileDataID,Flags,AreaID,CovenantID
63,Minas Mortas,"Dizem que o ouro das Minas Mortas representava cerca de um terço das reservas do tesouro de Ventobravo. Em meio ao caos da Primeira Guerra, as minas foram abandonadas. Depois, acreditou-se que fossem assombradas, o que as deixou relativamente intocadas até a Irmandade Défias – um grupo de ex-trabalhadores que se voltaram para o crime – reivindicar o labirinto como a base de suas atividades subversivas contra Ventobravo.",36,522336,522352,136332,526404,1,1581,0
64,Bastilha da Presa Negra,"Dominando o Vilarejo Lenhardente, no alto dos penhascos no sul da Floresta de Pinhaprata, a sombra da Bastilha da Presa Negra é tão sinistra quanto seu legado. Forças sombrias ocupam as ruínas do que antigamente foi o lar dos worgens do arquimago louco Arugal. O vulto inquieto do Barão Silverlaine lá permanece, enquanto Lorde Godfrey e seu conluio de ex-nobres guilneanos conspiram contra seus inimigos... tanto vivos quanto mortos-vivos.",33,522342,522358,136357,526410,0,0,0
65,Trono das Marés,"Nas vastidões insondáveis do Oceano Abissal está o Trono das Marés. De lá, o grande senhor elemental Neptulon, o Caçamaré, vigiou e protegeu seu domínio aquático por eras. Agora, ele enfrenta seu maior desafio: forças sinuosas das nagas e dos maléficos sem-rosto ameaçam depô-lo, deixando o reino e seus segredos desprotegidos, à mercê da pilhagem e da destruição.",643,522346,522362,460875,526413,1,5382,0
66,Caverna Rocha Negra,"Dizem que o próprio Asa da Morte criou o labirinto subterrâneo que permite ao Martelo do Crepúsculo transportar em segredo elementais do Monte Hyjal para a Montanha Rocha Negra. Um ponto vital desta rede sombria é a Caverna Rocha Negra, local da forja incandescente da seita e dos experimentos mais hediondos, incluindo a transformação dos sectários em draconianos do crepúsculo.",645,522334,522350,460859,526402,1,5374,0
67,Litocerne,"Dentro do Templo da Terra, encerrado no coração do Geodomo, está o Litocerne. Foi dentro destas cavernas que o Martelo do Crepúsculo trabalhou no Asa da Morte, forjando placas de elemêntio para o corpo do Aspecto na tentativa de manter a integridade de sua forma atormentada. Com sua renovação completa, Asa da Morte alçou seu voo para Azeroth, despedaçando o Pilar do Mundo e desestabilizando a região do Geodomo.",725,522344,522360,460872,526412,1,5303,0
68,Pináculo do Vórtice,"O Pináculo do Vórtice existe no plano elemental da Muralha Celeste. Suas construções elegantes, ornamentadas de ouro e bronze, se erguem sobre plataformas ligadas por ar. Apesar da beleza exterior, o pináculo abriga os tol'vir Neferset e legiões elementais do impiedoso Senhor dos Ventos, Al'Akir. Enquanto a barreira entre a Muralha Celeste e Azeroth estiver aberta, o terror choverá dos céus sobre Uldum.",657,522345,522361,460873,526414,1,5583,0
69,Cidade Perdida dos Tol'vir,"A Cidade Perdida dos Tol'vir é a fortaleza dos Neferset, uma facção de tol'vires semifelinos que juraram lealdade ao Asa da Morte em troca de uma cura para a maldição da carne, que transformou seu couro pedregoso em macia pele. Com a aflição expurgada, os tol'vir se voltaram contra o próprio benfeitor, mas permanecem irrevogavelmente perversos e hostis devido ao pacto obscuro que fizeram.",755,522341,522357,460866,526409,1,0,0
70,Salões Primordiais,"Construídos pelos grandes titãs, os Salões Primordiais são repletos de relíquias antigas e guardiões temíveis para protegê-las. Há rumores de que o complexo contém, ainda, uma arma devastadora capaz de reordenar toda a vida em Azeroth. O Asa da Morte iniciou uma busca pelo terrível dispositivo por meio de Al'Akir, o Senhor dos Ventos. O sistema de comunicação da instalação já foi totalmente corrompido pelos agentes do Asa da Morte, mas a arma ainda lhe escapa.",644,522340,522356,460865,526408,0,0,0
71,Grim Batol,"Não se engane com o exterior majestoso de Grim Batol. Muitas das câmaras dessa fortaleza montanhosa jazem profundamente enterradas no Planalto do Crepúsculo. Ela foi um dia o lar dos anões Martelo Feroz, e já foi usada pelos orcs como prisão para Alexstrasza, mas a cidade está hoje nas garras do Martelo do Crepúsculo.

Os heróis bravos o suficiente para se infiltrarem nas profundezas da fortaleza devem confrontar os agentes do Asa da Morte para dar fim ao misterioso mal que lá habita.",670,522338,522354,460863,526406,0,0,0
72,Bastião do Crepúsculo,"O Bastião do Crepúsculo se ergue como um símbolo sombrio do poder avassalador dos Deuses Antigos em Azeroth. Várias ramificações do Martelo do Crepúsculo habitam as profundezas do gigantesco complexo – considerado o principal centro de comando da seita –, assim como seu insano líder, Cho'gall. Lá, ele e seus lacaios conspiram para realizar as visões apocalípticas dos Deuses Antigos privando Azeroth de toda esperança, sanidade e vida.",671,522339,522355,460863,526407,0,0,0
