ID,Name_lang,Description_lang,BountySetID,SkillLineID,DeathTeleportSpellID,Field_9_0_2_36165_006,Field_9_0_2_36165_007,FactionID,CurrencyTypesID,RequiredPlayerConditionID
1,Kyrianos,"Os kyrianos são os resolutos guardiões do além-vida que conduzem as almas dos mortos para as Terras Sombrias. Eternamente dedicados ao seu dever, somente aqueles que se provam dignos podem se juntar às suas fileiras.",111,2730,315066,346042,346046,2407,1829,0
2,Venthyr,"Os venthyr são os aristocráticos soberanos das almas cujo fardo é o orgulho e a perversidade em excesso. Eles guiam as almas perturbadas pelo rigoroso caminho para a expiação, colhendo ânima para fortalecer seu reino.",112,2731,344545,346037,346043,2413,1830,0
3,Feérios Noturnos,"Os Feérios Noturnos cuidam dos espíritos da natureza que, depois de fenecer, permanecem adormecidos na tranquilidade da floresta. Aqueles que mantêm um vínculo profundo com a natureza podem se juntar a eles, garantindo que os espíritos rejuvenescidos possam um dia retornar ao ciclo eterno.",114,2732,344538,346039,346044,2465,1831,0
4,Necrolordes,"Entre os Necrolordes, a força é recompensada; a fraqueza, rechaçada. As almas dos ambiciosos e belicosos são forjadas para compor um exército imortal encarregado de defender as Terras Sombrias.",113,2733,344544,346041,346045,2410,1832,0
12,Centauro Maruuk,Os vários clãs de centauros da Chapada Ohn'ahrana se identificam como Centauros Maruuk.,119,0,0,0,0,2503,2002,104408
13,Expedição Escama de Dragão,A Liga dos Exploradores e o Relicário uniram forças para uma expedição às Ilhas do Dragão.,119,0,0,0,0,2507,2021,104394
14,Morsanos de Iskaara,Tribo dos Morsanos Robustos das Ilhas do Dragão.,119,0,0,0,0,2511,2087,104409
15,Acordo de Valdrakken,"Valdrakken é a capital reluzente das Revoadas Dragônicas, e foi aqui que elas firmaram um acordo para ajudar as raças mortais mais uma vez.",119,0,0,0,0,2510,2088,104407
20,Farins de Argília,"Os farins que moram no subterrâneo das Ilhas do Dragão, em Argília.",119,0,0,0,0,2564,2402,108239
21,Guardiões do Sonho,Uma coalizão de várias raças prontas para defender o Sonho Esmeralda contra todas as ameaças.,119,0,0,0,0,2574,2653,115959
23,Tripulação de Barrileiros,Uma tripulação de espíritos livres e desajustados fazendo baderna sob a bandeira do Capitão Barrileiro.,0,0,0,0,0,2593,2814,119189
24,Conselho de Dornogal,[DNT],120,0,0,0,0,2590,2900,117972
25,A Assembleia do Fosso,[DNT],120,0,0,0,0,2594,2898,117991
26,Arathi de Pouso Santo,[DNT],120,0,0,0,0,2570,2901,118011
27,Os Fios Cortados,[DNT],120,0,0,0,0,2600,2904,118037
28,[DNT] 11.0 Delves Season 1,[DNT],0,0,0,0,0,2644,3022,121067
29,[DNT] TBD The Undermine,[DNT] The Undermine,120,0,0,0,0,2653,3120,129040
30,Truste K'areshi,[DNT],120,0,0,0,0,2658,3128,129096
31,[DNT] 11.0 Delves Season 2,[DNT],0,0,0,0,0,2683,3130,129178
32,Recompensas de Fidelidade do Gallagio,[DNT],0,0,0,0,0,2685,3315,132346
33,Resplendor da Chama,[DNT],0,0,0,0,0,2688,3140,130290
34,[DNT] 11.0 Delves Season 3,[DNT],0,0,0,0,0,2722,3271,135812
35,Vândalos da Manaforja,[DNT],0,0,0,0,0,2736,3305,140006
