ActivityName_lang,Description_lang,ID,CriteriaTreeID,ThresholdContributionAmount,Field_10_1_0_48480_005,Field_10_1_0_48776_006
完成30個任務,完成可獲得經驗值的任務。,3,135693,200,0,0
擊敗50個地城首領,擊敗可獲得經驗值的地城首領。,4,135695,200,0,0
Feast of Winter Veil: Obtain a Finely-Tailored Holiday Hat,"From {EventStartDate} - {EventEndDate}, obtain a Finely-Tailored Holiday Hat",5,135697,50,0,-100
通關5個傳奇鑰石難度地城,,6,135699,200,0,7
完成15個世界任務,,7,136176,150,0,0
擊敗10個《巨龍崛起》團隊副本首領,,8,136202,200,0,0
獲得7500點榮譽值,,10,136220,200,0,0
贏得5次戰場,,11,136222,200,0,0
贏得10次非練習戰的競技場對戰,,12,136224,200,0,0
完成製作訂單,在沃卓肯的工匠市場，與製作訂單辦事員交談。,13,136242,200,0,0
在15場寵物對戰中獲勝,,14,136244,200,0,0
以跨陣營隊伍擊敗地城首領,以跨陣營隊伍擊敗可獲得經驗值的地城首領。,16,136248,150,0,0
在北裂境完成任務,,17,136250,100,0,0
通關5個《巫妖王之怒》時光漫遊地城,,18,136265,250,0,0
Defeat the Lich King,Kill the Lich King in the Icecrown Citadel.,19,136286,50,0,0
完成奧特蘭克山谷戰場,,20,136288,100,0,0
Battle Pet Week: Defeat Northrend Master Tamers with a Little Helper,"From {EventStartDate} - {EventEndDate}, use at least one Little Helper to defeat all Northrend Master Tamers.",21,136291,75,0,-110
Timewalking: Go Fishing in Northrend,From {EventStartDate} - {EventEndDate} fish up items in Northrend.,22,136300,100,0,0
Shiver at Ragnaros,Emote /cold at Ragnaros in the Molten Core.,23,136323,25,0,0
Feast of Winter Veil: Dance Around the Tree While Dressed for the Occasion,"From {EventStartDate} - {EventEndDate}, dance with another player near the festive tree while wearing Winter Garb.",24,136325,50,0,-100
擊殺100個冰元素,,25,136327,100,0,0
Darkmoon Faire: Complete Target: Turtle,From 12/3 - 12/9 complete the quest Target: Turtle on Darkmoon Faire Island.,26,136357,50,0,-62
Feast of Winter Veil: Kill 3 Festive Bosses,From {EventStartDate} - {EventEndDate} kill three of the following bosses.,27,136359,50,0,-100
Wanderer's Festival: Attend the Festival,From {EventStartDate} - {EventEndDate} attend the Wanderer's Festival at Turtle Beach in Krasarang Wilds.,28,136364,100,0,-70
"Wanderer's Festival: Launch a Lantern and Read ""Waiting for the Turtle""","From {EventStartDate} - {EventEndDate}, launch a lantern and read ""Waiting for the Turtle"" at the Wanderer's Festival in Krasarang Wilds.",29,136366,75,0,-70
Darkmoon Faire: Eat a Corn-Breaded Sausage After Your Ride,"From 12/3 - 12/9 ride the Darkmoon carousel or roller-coaster, then eat a corn-breaded sausage.",30,136369,25,0,-62
擊殺敵對陣營的領袖,,31,136449,400,0,0
Explore a Snowy Region,Fully explore one of the following zones.,32,136527,50,0,0
Feast of Winter Veil: Gain Chillin',"From {EventStartDate} - {EventEndDate} (Winter Veil), gain Chillin' from Coldrage's Cooler.",34,136855,25,0,-100
Timewalking: Complete Quests in Draenor,From {EventStartDate} - {EventEndDate} complete quests in Draenor.,36,149949,100,0,0
時光漫遊：完成5個《德拉諾之霸》時光漫遊地城,From {EventStartDate} - {EventEndDate} complete Warlords of Draenor Timewalking dungeons.,37,137530,100,213,0
通關地獄火堡壘,,38,137539,150,0,0
在塔南森林擊殺15個玩家,,39,137541,200,0,0
以龍類寵物擊敗巨龍群島大師級馴獸師,以至少包含2隻龍類寵物的陣容，擊敗2個巨龍群島大師級馴獸師,40,137543,200,0,0
Timewalking: Go Fishing in Draenor,From {EventStartDate} - {EventEndDate} fish up items in Draenor.,41,149979,100,0,0
使用快樂寵物點心,在達拉然的魔法動物園，向布芮妮購買快樂寵物點心。,42,137615,100,0,0
愛就在身邊：在巨龍群島使用傳播者充滿愛的爐石玩具,From {EventStartDate} - {EventEndDate} use the Peddlefeet's Lovely Hearthstone toy on the Dragon Isles.,43,137617,150,0,0
愛就在身邊：在雍亞拉平原使用浪漫野餐籃玩具,From {EventStartDate} - {EventEndDate} use the Romantic Picnic Basket toy in Ohn'ahran Plains.,44,137619,150,0,0
愛就在身邊：完成「甜食總動員」,From {EventStartDate} - {EventEndDate} complete the quest Bonbon Blitz.,45,137621,150,0,0
愛就在身邊：擊敗藥劑師胡默爾,From {EventStartDate} - {EventEndDate} defeat Apothecary Hummel in Shadowfang Keep.,46,137623,150,0,0
愛就在身邊：獻上可愛符咒手鐲,From {EventStartDate} - {EventEndDate} present a Lovely Charm Bracelet to one of your faction leaders.,47,137625,150,0,0
向死亡的玩家「/擁抱」。,向死亡的玩家使用表情指令「/擁抱」。,48,137634,50,0,0
復活玩家,,49,137636,50,0,0
使用贊吉爾的慢性毒藥,使用贊吉爾的慢性毒藥，可從暴風城的格拉德‧布萊克或奧格瑪的奧弗斯‧凱恩那裡取得。,50,137645,50,0,0
從拍賣場賺取金幣,,52,137647,100,0,0
品嚐巧克力蛋糕切片、可愛蛋糕切片和莓子派切片,品嚐巧克力蛋糕切片、可愛蛋糕切片和莓子派切片，可從舊達拉然的安咪那裡取得。,53,137651,50,0,0
角鷹獸孵化日：讓亂羽角鷹獸幼雛停在你身上,在{EventStartDate}當天，孵化亂羽角鷹獸的蛋，讓幼雛停在你的肩膀上。,54,137655,150,0,0
角鷹獸孵化日：獲得靈羽,在{EventStartDate}當天，從羅薩里厄那裡獲得並使用靈羽。,55,137657,150,0,0
暗月馬戲團：擺放大莓子派,From {EventStartDate} - {EventEndDate} set out a Big Berry Pie on Darkmoon Faire Island.,56,137659,50,0,0
時尚大考驗：獲得100個時尚大考驗獎章,From {EventStartDate} - {EventEndDate} earn Trial of Style Tokens by participating in the Trial of Style.,61,137688,100,266,0
Timewalking: Go Fishing in the Broken Isles,From {EventStartDate} - {EventEndDate} fish up items in the Broken Isles.,63,149983,100,0,0
獲得能讓你「酷炫登場」的玩具,,64,137776,50,0,0
時尚大考驗：對玩家使用「/歡呼」,From {EventStartDate} - {EventEndDate} emote /cheer at players while participating in the Trial of Style.,65,137787,50,0,0
時尚大考驗：使用時尚大考驗聚光燈、舞池和火焰,在{EventStartDate}-{EventEndDate}期間，在參加時尚大考驗時，使用時尚大考驗聚光燈、舞池和火焰。,66,137789,100,0,0
時尚大考驗：仰慕者的信,From {EventStartDate} - {EventEndDate} use Letter from an Admirer while participating in the Trial of Style.,67,137793,50,0,0
進入博學者殿堂副本，擊敗凱爾薩斯‧逐日者,,68,137795,150,0,0
瘋狂安戈洛：取得恐龍魔精,From {EventStartDate} - {EventEndDate} loot Dino Mojo in Un'Goro Crater.,69,137797,150,0,0
瘋狂安戈洛：獲得「適者生存棒透了」,From {EventStartDate} - {EventEndDate} use Dino Mojo to increase Adaptation effects until you are awesome.,70,137799,150,0,0
暗月馬戲團：完成「人肉砲彈」,From {EventStartDate} - {EventEndDate} complete the quest The Humanoid Cannonball on Darkmoon Faire Island.,71,137801,50,0,0
使用調整過度的柯基護目鏡玩具,,72,137803,50,0,0
改變你的外觀,拜訪主城的美容師，改變你的外觀。,73,137805,20,0,0
時尚大考驗：收集商人雙角帽外觀,From {EventStartDate} - {EventEndDate} collect the Trader's Bicorne appearance by participating in the Trial of Style.,74,137807,20,0,0
在「酷炫登場」的時候對另一名玩家使用「/強壯」,在受到「酷炫登場」玩具的效果影響時，對玩家使用表情指令「/強壯」。,75,137809,50,0,0
對敵對陣營的玩家使用「/屈膝」,對敵對陣營的玩家使用表情指令「/屈膝」。,76,137811,20,0,0
對「酷炫登場」的玩家使用「/畏懼」,對受到「酷炫登場」玩具的效果影響的玩家使用表情指令「/畏懼」。,77,137813,50,0,0
在巨龍群島全境獲得聲望,,79,137872,150,0,0
通關15個傳奇鑰石難度地城,,81,140979,200,6,5
完成莫魯克半人馬大狩獵。,在巨龍群島，完成莫魯克半人馬大狩獵。,82,140981,150,0,0
與一名好友一起捕捉大傢伙,在巨龍群島，與另一名玩家一起用魚叉捕捉大傢伙。,83,140983,50,0,0
在伊斯凱拉巨牙海民集體盛宴期間完成任務,在巨龍群島伊斯凱拉的集體盛宴期間完成任務。,84,140985,50,0,0
完成攻打龍禍要塞,在巨龍群島的甦醒海岸，完成「攻打龍禍要塞」。,85,140987,50,0,0
攀爬時，使用互助系統,在巨龍群島解攀爬世界任務期間使用互助系統。,86,140989,50,0,0
在洪荒使者風暴期間，擊敗特殊生物,在洪荒使者風暴活動期間，巨龍群島上會出現特殊生物。,87,140991,100,0,0
在巨龍群島完成4條飛龍騎術拉力賽道,在巨龍群島的有效集合地點，與青銅時空守衛者交談。,88,141010,250,265,0
在巨龍群島完成PvP世界任務,,89,141012,100,0,0
擊敗巨龍群島的世界首領,,90,141021,100,0,0
完成甦醒海岸支線故事情節,,91,141032,200,0,0
完成每週採集任務,在沃卓肯的工匠市場，與專業技能訓練師交談。,92,141044,100,0,0
完成每週製作任務,在沃卓肯的工匠市場，與專業技能訓練師交談。,93,141057,100,0,0
在巨龍群島獲得戰爭補給箱,,94,141095,100,0,0
在巨龍群島釣起物品,,95,141125,100,0,0
對守護巨龍使用「/愛」,在沃卓肯對守護巨龍使用表情指令「/愛」。,96,141883,50,0,0
對陣亡的巨龍使用「/愛」,在其副本中，對2條陣亡的巨龍使用表情指令「/愛」。,97,141887,50,0,0
獲得春季主題玩具,,98,141941,50,0,0
貴族花園：在伊斯凱拉品嚐貴族花園巧克力,From {EventStartDate} - {EventEndDate} eat Noblegarden Chocolates in Iskaara on the Dragon Isles.,99,141949,100,0,0
貴族花園：在競技場或戰場上使用春日鮮花,From {EventStartDate} - {EventEndDate} use Spring Flowers on an opposing player in an arena or battleground.,100,141951,50,0,0
貴族花園：收集明亮的彩蛋,From {EventStartDate} - {EventEndDate} collect Brightly Colored Eggs.,101,141953,100,0,0
拍攝傳說漁夫的照片,在巨龍群島進行編目世界任務期間拍攝傳說漁夫的照片。,102,141960,50,0,0
完成編目世界任務,在巨龍群島完成編目世界任務。,103,141971,50,0,0
獲得元素溢流,在巨龍群島從受洪荒使者風暴影響的生物身上獲得元素溢流。,104,141979,100,0,0
在巨龍群島完成飛龍騎術賽道,在巨龍群島與青銅時空守衛者交談。,105,141981,100,0,0
貴族花園：放置彩蛋,From {EventStartDate} - {EventEndDate} place 12 Intricately-Painted Eggs or 1 Magnificently-Painted Egg.,106,141983,50,0,0
蝌蚪歷險節：完成「來自蝌蚪的禮物」,在{EventStartDate}，完成「來自蝌蚪的禮物」任務。,107,141986,150,0,0
完成雍亞拉平原支線故事情節,,108,141988,150,0,0
擊敗大狩獵的首領,在巨龍群島擊敗莫魯克半人馬大狩獵的首領。,109,141997,100,0,0
使用魚叉捕捉大傢伙,在巨龍群島用魚叉捕捉大傢伙。,110,142034,50,0,0
繳交黑曜鑰匙,在巨龍群島將黑曜鑰匙交給黑曜龍堡周圍的人。,111,142036,100,0,0
改變飛龍騎術坐騎的外觀,前往巨龍群島的外形調整台。,112,142038,20,0,0
在蒼藍高地的鈷藍集會訓練場獲得榮耀,,113,142733,100,0,0
志願守衛節：殺死城市入侵者,在{EventStartDate}，對暴風城或奧格瑪的守衛使用表情指令「/敬禮」，並殺死城市入侵者。,114,142040,200,0,0
暗月馬戲團：完成「勁爆暗月熱舞」,From {EventStartDate} - {EventEndDate} complete the quest Dance Dance Darkmoon on Darkmoon Faire Island.,115,142044,50,0,0
