ID,Header_lang,TopLeftFeatureTitle_lang,TopLeftFeatureDesc_lang,BottomLeftFeatureTitle_lang,BottomLeftFeatureDesc_lang,RightFeatureTitle_lang,RightFeatureDesc_lang,AllianceQuestID,HordeQuestID,ScreenType,TextureKitID,SoundKitID,PlayerConditionID,CharLevelConditionID,RequiredTimeEventPassed
19,¡Novedades del prelanzamiento de Shadowlands!,Rediseño de la subida de nivel,Disfruta de una narrativa agilizada hasta llegar al nuevo nivel máximo: ¡50!,Personalización de personaje,Visita una peluquería para ver nuevos aspectos.,Muerte emergente,Explora las actualizaciones de las facultades de clase y prepárate para la oscuridad que se avecina.,60113,60115,0,5364,0,0,87298,119
20,¡Novedades de Shadowlands!,Curias,Jura lealtad a una de las cuatro curias y consigue nuevos poderes.,Personalización de personaje,Visita una peluquería para ver nuevos aspectos.,Shadowlands,Explora los reinos del más allá y desentraña los misterios de la muerte.,60545,61874,0,5365,0,0,87299,120
40,¡Novedad en Cadenas de Dominación!,La llamada a Korthia,Rechaza a las fuerzas del Carcelero en la Ciudad de los Secretos que acaba de reaparecer.,Actualizaciones de Torghast,Alcanza nuevas cotas con el nuevo sistema de progresión.,La batalla de Ardenweald,¡Defiende el bosque eterno de la invasión de la Reina Alma en Pena!,63576,63576,0,5403,0,0,92337,154
41,,Tazavesh,¡Frustra el audaz asalto de los Especuladores en el Mercado Velado!,Empieza la temporada 2,"Recompensas de mazmorras y JcJ actualizadas, y un nuevo afijo de mítica+: Atormentado.",Sagrario de Dominación,¡Al fin podrás batirte en duelo contra Sylvanas Brisaveloz en la banda de la fortaleza del Carcelero!,0,0,1,5404,0,0,92337,123
42,¡Novedades del parche 9.1.5!,Paseo en el tiempo: Legion,Ponte a prueba en mazmorras míticas+ de Legion y la torre de magos.,¡La subida de nivel ha subido de nivel!,"¡Subidas de nivel, reputación y equipo para ponerse al día mejorados para personajes alternativos!",Actualizaciones de las curias,Cambia de curia con libertad al llegar al máximo de renombre.,0,0,0,5416,0,0,92337,176
43,¡Novedades de Fin de la Eternidad!,Clave de los Primeros,Aprende el idioma de los Automa y desbloquea grandes recompensas.,Desafío del Carcelero,Ábrete paso por 8 plantas habitadas por los enemigos más letales de cada ala de Torghast.,Zereth Mortis,Enfréntate a las fuerzas del Carcelero en la tierra mística de los Primeros.,64942,64942,0,5442,0,0,92337,204
44,¡Novedades de la temporada 3!,Temporada 3,"Recompensas de mazmorras y JcJ actualizadas, y un nuevo afijo de mítica+: Encriptada.",Conjuntos de clase,Aspectos y bonus de armadura únicos que te ayudan en la lucha por salvar las Tierras Sombrías.,Sepulcro de los Primeros,Explora el sagrario prohibido y frustra el plan del Carcelero para dominar la realidad.,0,0,0,5443,0,0,92337,149
45,¡Novedades del parche 9.2.5!,Misiones de Lordaeron,¿Podrán los Renegados recuperar las Ruinas de Lordaeron y forjar un nuevo futuro?,Crisol Enigma,Enfréntate a una nueva arena JcJ entre las antiguas maravillas de Zereth Mortis.,Estancias multifacción,"¡Por primera vez, forma un grupo de mazmorra, banda o JcJ puntuado con miembros de ambas facciones!",0,0,0,5430,0,0,92337,247
46,¡Novedades de la temporada 4!,Temporada 4 de Shadowlands,Consigue nuevas recompensas en mazmorras de piedra angular mítica y JcJ.,Nuevas mazmorras míticas+,¡Disfruta de mazmorras clásicas con afijos míticos!,Bandas predestinadas,Vuelve a las bandas de Shadowlands para enfrentarte a un nuevo desafío y conseguir nuevas recompensas.,0,0,0,5431,0,0,92337,248
47,¡Novedades del parche preliminar de Dragonflight!,Actualizaciones de la interfaz de usuario,Se ha actualizado el diseño de la IU. ¡Personalízala con el nuevo modo edición!,¡Queda muy poco para Dragonflight!,28 de noviembre,Nuevo sistema de talentos,¡Explora la nueva clase y los nuevos árboles de especialización y crea tu propia configuración de talentos!,0,0,0,5482,0,0,87298,250
48,¡Novedades del parche preliminar de Dragonflight!,Tempestad desatada,Acaba con poderosos elementales en las tormentas que se han formado por todo Azeroth.,Uldaman,Desafía los peligros de Uldaman para asegurar el futuro de los dragónicos.,Evocador dracthyr,Una nueva raza y una nueva clase han despertado en Azeroth. Domina el poder de los Vuelos para infligir daño o sanar a tus aliados.,0,0,0,5483,0,0,104814,262
49,¡Novedades en Dragonflight!,Actualización de las profesiones,"¡Nuevas características, como pedidos de fabricación, equipo o especializaciones, entre otras muchas!",Jinete de dragones,Surca los cielos de las Islas Dragón con un nuevo y emocionante sistema de movimiento.,Islas Dragón,Viaja al hogar ancestral de los Vuelos y ayúdalos a recuperar su legado.,67700,65444,0,5484,0,0,104813,254
50,¡Novedades de la temporada 1!,Temporada 1 de JcJ,Consigue recompensas con el nuevo modo Batiburrillo de solitarios puntuados.,Temporada 1 de míticas+,"Una nueva rotación de mazmorras y el afijo ""atronadora"" te aguardan.",Cámara de las Encarnaciones,Impide que los Primalistas liberen a los parientes encarcelados de Raszageth.,0,0,0,5492,0,0,104738,260
55,¡Novedades del parche 10.0.5!,La furia de la tormenta,Lucha contra los Primalistas en el Futuro Primalista para obtener recompensas épicas.,Actualizaciones de la transfiguración,¡Ahora se pueden obtener objetos blancos y grises para la transfiguración!,¡El puesto comercial ha abierto sus puertas!,Hay una nueva tienda de cosméticos en Ventormenta y Orgrimmar.,0,0,0,5529,0,0,104814,343
56,¡Novedades del parche 10.0.7!,Legado de los humanos y los orcos,Consigue conjuntos de armadura exclusivos mientras exploras las culturas e historias de estas razas.,Actualización de Recluta a un amigo,¡Nuevas y fantásticas recompensa por traer a tus amigos a Azeroth!,Regreso al Confín Olvidado,Investiga los misterios que dejaron atrás los dracthyr durante su huida.,74381,74381,0,5514,0,0,104814,362
57,¡Novedades del parche 10.1.0!,Reptadraco sinuoso,¡Recorre la Caverna Zaralek en la nueva montura nativa de jinete de dragones!,Hermandades multifacción,"¡Por primera vez, los jugadores de la Horda y la Alianza pueden unirse en la misma hermandad!",Caverna Zaralek,Continúa la historia de la Llama Hendida y enfréntate a las fuerzas de las Encarnaciones en este olvidado territorio subterráneo.,72975,72975,0,5532,0,0,104814,364
58,¡Novedades de la temporada 2!,Temporada 2 de Dragonflight,Consigue nuevas recompensas en mazmorras de piedra angular mítica y JcJ.,Actualización de míticas+,¡Disfruta de nuevos afijos y de una reserva renovada de mazmorras de mítica+!,"Aberrus, el Crisol Ensombrecido",Persigue a Sarkareth y explora el legado de Neltharion en este antiguo laboratorio.,0,0,1,5533,0,0,104738,294
59,¡Novedades del parche 10.1.5!,Aumento desbloqueado,¡Una nueva especialización de daño con un estilo de juego único!,Desentraña las líneas temporales,¡Ayuda al Vuelo Bronce en el Margen del Eón y las fallas temporales!,Amanecer del Infinito,¡Lucha contra el Vuelo Infinito en una megamazmorra mítica!,0,0,0,5540,0,0,104814,379
60,¡Novedades del parche 10.1.7!,Armadura dinástica de elfos de la noche y Renegados,Consigue conjuntos de armadura exclusivos mientras exploras las culturas e historias de estas razas.,Presentación del sistema de avisos,Pásate por el menú de opciones para comunicarte más rápido con avisos.,Picos Oníricos,¡Enfréntate a enemigos potenciados por el Sueño en las Islas Dragón mientras Amirdrassil se prepara para florecer!,0,0,0,5548,0,0,104814,422
61,¡Novedades del parche 10.2.0!,Guardianes del Sueño,"Únete a la defensa del Sueño con nuevos eventos, recompensas y vías de renombre.",Campo de batalla relámpago,"¡Únete a una experiencia de campo de batalla 8c8 en solitario! ¡En este modo, todo va rápido!",El Sueño Esmeralda,"Entra en el Sueño y defiende Amirdrassil, el Árbol del Mundo floreciente, de Fyrakk y los druidas de la Llama.",0,0,0,5553,0,0,104814,470
62,¡Novedades de la temporada 3!,Temporada 3 de Dragonflight,¡Consigue nuevas recompensas en mazmorras de piedra angular mítica y JcJ!,Actualizaciones de la gran cámara,"Ahora, las mazmorras heroicas, míticas y de Paseo en el tiempo desbloquean recompensas de la cámara.","Amirdrassil, la Esperanza del Sueño",Impide que Fyrakk consuma Amirdrassil y convierta el Sueño Esmeralda en un páramo ardiente.,0,0,1,5553,0,0,104738,350
63,¡Novedades del parche 10.2.5!,Archivo de Azeroth,Adéntrate en la historia perdida y las leyendas de las Islas Dragón.,Mazmorras con seguidores,¡Haz cola para mazmorras de Dragonflight con compañeros PNJ!,Gilneas reclamada,Únete a Genn Cringrís y a los gilneanos para recuperar su hogar.,78596,78597,0,5548,0,0,104814,535
64,¡Novedades de la temporada 4!,Temporada 4 de Dragonflight,Recibe nuevas recompensas.,Progresión de mazmorras actualizada,"Recompensas de las dificultades heroica, mítica y mítica+ actualizadas.",Bandas despiertas,¡Conquista las tres bandas de Dragonflight para obtener recompensas actualizadas!,0,0,1,5566,0,0,104738,353
68,,Obtén recompensas,"¡Consigue botín para obtener recompensas como monturas, mascotas y transfiguraciones!",Primeros pasos,"Para jugar, desconéctate y selecciona Plunderstorm en la pantalla de selección de personaje.",Plunderstorm,¡Los piratas se enfrentan en una batalla colosal!,0,0,0,5572,0,0,104814,587
69,10.2.7 Mists of Pandaria: Remix,Consigue recompensas para la cuenta,"¡Consigue bronce y hazte con monturas, mascotas y apariencias!",Primeros pasos,Crea un nuevo asaltante temporal en la pantalla de selección de personaje.,Mists of Pandaria: Remix,¡Disfruta de Mists of Pandaria con novedades de lo más interesantes!,0,0,1,5582,0,0,104814,570
70,Novedades del parche 10.2.7,Legado de los draenei y los trols,Consigue conjuntos de armadura exclusivos mientras exploras sus culturas e historias.,Remix de Pandaria,¡La semana que viene llega una forma distinta de subir de nivel!,Presagista de oscuridad,"Al volver la paz a las Islas Dragón, un plan oscuro se pone en marcha.",0,0,1,5583,0,0,104814,582
71,¡Novedades del parche preliminar de The War Within!,Ecos radiantes,Derrota enemigos del pasado de Azeroth al resurgir recuerdos. ¡Disponible el 31 de julio!,Queda muy poco para The War Within,Disponible el 26 de agosto (acceso anticipado el 22 de agosto).,Bandas guerreras,"¡Tus personajes comparten acceso a un banco de bandas guerreras, reputaciones de Dragonflight y demás!",0,0,0,5624,0,0,104814,705
