CustomGossipDescriptionString_lang,CompletedOptionDescriptionString_lang,ID,GossipMenuID,UiTextureKitID
"Die Skoldushalle ist nur einer von Torghasts zahllosen Zellenblöcken. Wärter Skoldus nutzt Bestien, Ketten und Fallen, um seine Gefangenen und auch Eindringlinge zu quälen.","Belohnung erhalten. Wenn Ihr diese Ebene erneut abschließt, erhaltet Ihr eine kleine Menge zusätzliche Seelenasche.",1,26048,5352
,,2,26191,5336
,,3,26192,5336
"In den Frakturkammern werden die Knochen Gefangener aus allen Reichen der Schattenlande in einem grausamen Folterkreislauf unendlich oft gebrochen und wieder geheilt. Befreit die Gefangenen, auf dass sie sich rächen können.","Belohnung erhalten. Wenn Ihr diese Ebene erneut abschließt, erhaltet Ihr eine kleine Menge zusätzliche Seelenasche.",4,26375,5354
Die Kaltherzinterstitia hängen zwischen den hohen Spitzen Torghasts und sind der Hort der schlundgebundenen Kyrianer. Diese greifen von oben an und schleudern leichtsinnige Eindringlinge hinab in die Dunkelheit.,"Belohnung erhalten. Wenn Ihr diese Ebene erneut abschließt, erhaltet Ihr eine kleine Menge zusätzliche Seelenasche.",5,26377,5355
"Wie auch das wandelbare und entstellte Gelände selbst haben die in Mort'regar gefangenen Seelen alles verloren, was sie einst ausmachte. Die Streitkräfte des Kerkermeisters unterziehen sie nekromantischen Experimenten und verwandeln sie in schreckliche Monstrositäten.","Belohnung erhalten. Wenn Ihr diese Ebene erneut abschließt, erhaltet Ihr eine kleine Menge zusätzliche Seelenasche.",6,26378,5353
Die Oberen Ebenen sind das Reich der ergebensten Diener des Kerkermeisters. Elitestreitkräfte der Schlundgebundenen und ihrer Venthyrverbündeten patrouillieren in diesen Hallen und erhalten die mächtigste Verteidigung ihres Meisters aufrecht.,"Belohnung erhalten. Wenn Ihr diese Ebene erneut abschließt, erhaltet Ihr eine kleine Menge zusätzliche Seelenasche.",7,26379,5357
"Die Gewundenen Korridore haben ihren Namen nicht von ungefähr. Sie winden sich unberechenbar durch die vielen Zellenblöcke Torghasts und werden von allerhand Dienern des Kerkermeisters bewacht. Die Furchtlosen, die in diese 18 Stockwerke vorstoßen, kehren selten zurück.",Belohnung erhalten,8,26380,5358
"Verdammte Seelen werden in die Seelenschmieden gebracht, um eingeschmolzen und zu Rüstungen und Waffen für die Armee des Kerkermeisters geschmiedet zu werden. Hütet Euch vor dem rasenden Feuer, das in diesen Hallen lodert.","Belohnung erhalten. Wenn Ihr diese Ebene erneut abschließt, erhaltet Ihr eine kleine Menge zusätzliche Seelenasche.",9,26376,5356
"Die Skoldushalle ist nur einer von Torghasts zahllosen Zellenblöcken. Wärter Skoldus nutzt Bestien, Ketten und Fallen, um seine Gefangenen und auch Eindringlinge zu quälen.","Belohnung erhalten. Wenn Ihr diese Ebene erneut abschließt, erhaltet Ihr eine kleine Menge zusätzliche Seelenasche.",10,26655,5352
"In den Frakturkammern werden die Knochen Gefangener aus allen Reichen der Schattenlande in einem grausamen Folterkreislauf unendlich oft gebrochen und wieder geheilt. Befreit die Gefangenen, auf dass sie sich rächen können.","Belohnung erhalten. Wenn Ihr diese Ebene erneut abschließt, erhaltet Ihr eine kleine Menge zusätzliche Seelenasche.",11,26656,5354
"Verdammte Seelen werden in die Seelenschmieden gebracht, um eingeschmolzen und zu Rüstungen und Waffen für die Armee des Kerkermeisters geschmiedet zu werden. Hütet Euch vor dem rasenden Feuer, das in diesen Hallen lodert.","Belohnung erhalten. Wenn Ihr diese Ebene erneut abschließt, erhaltet Ihr eine kleine Menge zusätzliche Seelenasche.",12,26657,5356
Die Kaltherzinterstitia hängen zwischen den hohen Spitzen Torghasts und sind der Hort der schlundgebundenen Kyrianer. Diese greifen von oben an und schleudern leichtsinnige Eindringlinge hinab in die Dunkelheit.,"Belohnung erhalten. Wenn Ihr diese Ebene erneut abschließt, erhaltet Ihr eine kleine Menge zusätzliche Seelenasche.",13,26658,5355
"Wie auch das wandelbare und entstellte Gelände selbst haben die in Mort'regar gefangenen Seelen alles verloren, was sie einst ausmachte. Die Streitkräfte des Kerkermeisters unterziehen sie nekromantischen Experimenten und verwandeln sie in schreckliche Monstrositäten.","Belohnung erhalten. Wenn Ihr diese Ebene erneut abschließt, erhaltet Ihr eine kleine Menge zusätzliche Seelenasche.",14,26659,5353
Die Oberen Ebenen sind das Reich der ergebensten Diener des Kerkermeisters. Elitestreitkräfte der Schlundgebundenen und ihrer Venthyrverbündeten patrouillieren in diesen Hallen und erhalten die mächtigste Verteidigung ihres Meisters aufrecht.,"Belohnung erhalten. Wenn Ihr diese Ebene erneut abschließt, erhaltet Ihr eine kleine Menge zusätzliche Seelenasche.",15,26660,5357
"Die Gewundenen Korridore haben ihren Namen nicht von ungefähr. Sie winden sich unberechenbar durch die vielen Zellenblöcke Torghasts und werden von allerhand Dienern des Kerkermeisters bewacht. Die Furchtlosen, die in diese 18 Stockwerke vorstoßen, kehren selten zurück.|n|nWird nicht durch die Kiste der Zahllosen Dinge beeinflusst.",Belohnung erhalten,16,26661,5358
,,17,25967,5283
,,18,26513,5283
,,19,26517,5287
,,20,26516,5285
,,21,26514,5302
,,22,26131,5283
,,23,26132,5302
,,24,26133,5287
,,25,26041,5285
,,26,26324,5283
,,27,26323,5283
,,28,26327,5283
,,29,26322,5283
,,30,26326,5283
,,31,26328,5287
,,32,26342,5287
,,33,26344,5287
,,34,26341,5287
,,35,26343,5287
,,36,26346,5302
,,37,26347,5302
,,38,26348,5302
,,39,26345,5302
,,40,26349,5302
,,41,26356,5285
,,42,26355,5285
,,43,26358,5285
,,44,26354,5285
,,45,26357,5285
Im kürzlich entdeckten Adamantgewölbe hält der Kerkermeister einige seiner verhasstesten Gefangenen fest.,"Belohnung erhalten. Wenn Ihr diese Ebene erneut abschließt, erhaltet Ihr eine kleine Menge zusätzliche Seelenasche.",46,26812,5354
"Kämpft Euch durch 8 Stockwerke voller Kreaturen und Bosse aus allen Flügeln von Torghast. Je höher Ihr kommt, desto größer werden die Herausforderungen.|n|nEs wäre empfehlenswert, Freunde mitzubringen.|n|nWird nicht durch die Kiste der Zahllosen Dinge beeinflusst.",Belohnung erhalten,47,27436,5358
"Kämpft Euch durch 8 Stockwerke voller Kreaturen und Bosse aus allen Flügeln von Torghast. Je höher Ihr kommt, desto größer werden die Herausforderungen.|n|nEs wäre empfehlenswert, Freunde mitzubringen.|n|nWird nicht durch die Kiste der Zahllosen Dinge beeinflusst.",Belohnung erhalten,48,27491,5358
,,50,32917,5551
,,51,32924,5551
,,52,33048,5551
,,53,33148,5551
,,54,33198,5551
,,56,33340,5551
,,57,33398,5551
,,58,33426,5551
,,59,33664,5551
,,60,33804,5551
,,61,33912,5551
,,63,33965,5551
,,64,34040,5551
,,65,36702,5551
,,66,37069,5551
,,68,37309,5551
