Name_lang,Description_lang,Map[0],Map[1],ID,JournalInstanceID,DungeonEncounterID,OrderIndex,FirstSectionID,UiMapID,MapDisplayConditionID,Flags,DifficultyMask
Glubtok,"Dans un accès de rage, Glubtok a libéré ses puissants dons magiques et réduit son tertre en cendres. Quand ils ont entendu parler de ses talents destructeurs, les défias ont engagé l’imposant Ogre-mage pour surveiller leurs ouvriers en tant que contremaître en chef des Mortemines.",0.3652697,0.6122755,89,63,2976,1,2010,291,54460,2,1
Hélix Engrecasse,"On a proposé à Hélix, ancien artisan du cartel Baille-Fonds, une somme éclipsant tout ce qu’il aurait pu gagner en tant qu’ingénieur de la Horde anonyme afin qu’il exerce son métier parmi la Confrérie défias. Il a été prompt à accepter cet emploi et à renoncer à ses anciennes loyautés... comme tout Gobelin ingénieux le ferait.",0.50199604,0.8682636,90,63,2977,2,2020,291,54460,2,1
Faucheur 5000,"Les ingénieurs défias ont passé de nombreuses journées à perfectionner un nouveau modèle de faucheur basé sur l’unité Faucheur 4000. Une fois qu'il sera terminé, la confrérie pense que cette terreur mécanique pourra trancher dans les armures des soldats de Hurlevent comme une faux tranche les blés.",0.12475067,0.75898206,91,63,2975,3,3448,292,54460,2,1
Amiral Grondéventre,"Quand James Harrington a été touché par la malédiction des Worgens, il a détruit sa famille aimante et sa carrière dans la marine en une seule et horrible nuit à cause de sa soif de sang. Prenant le nom de Grondéventre, il a fui vers la marche de l’Ouest et accepté plus tard de commander au redoutable mastodonte de la confrérie défias.",0.60479087,0.38772452,92,63,2974,4,2044,292,54460,2,1
« Capitaine » Macaron,"Macaron s’est auto-proclamé capitaine du cuirassé de la Confrérie défias après la mort de son précédent commandant. Bien qu’il ait conservé ses attributions de chef cuisinier, tout impudent tentant de discuter le bien-fondé de son titre de capitaine se retrouve immanquablement affligé d'une grave intoxication alimentaire.",0.60479087,0.4550898,93,63,2973,5,2055,292,54460,2,1
Vanessa VanCleef,"Quand elle était enfant, Vanessa a été le témoin de la mort horrible de son père, l’ancien dirigeant de la Confrérie défias, Edwin VanCleef. Depuis, elle a repris le rôle de dirigeant, intriguant pour se venger de Hurlevent depuis les sombres couloirs du bastion défias dans les Mortemines.",0.6546913,0.40269458,95,63,1081,6,2060,292,54460,2,2
Baron Ashbury,"Tué par les Worgens et ramené d’entre les morts par les Réprouvés, le félon baron Ashbury joue avec ses ennemis, les gardant en vie afin de leur infliger le maximum de souffrance.",0.66467136,0.732036,96,64,1069,1,2107,310,0,0,-1
Baron d’Argelaine,"Le baron d’Argelaine était le maître du donjon avant qu’il ne tombe face aux Worgens d’Arugal. Désormais, son esprit maudit réclame que ces mêmes hommes-loups qui l’ont massacré punissent les intrus qui envahissent aujourd’hui son foyer.",0.30439156,0.7739521,97,64,1070,2,2118,311,0,0,-1
Commandant Printeval,"Soldat loyal, le fantôme du commandant Printeval hante la salle du conseil, utilisant ses frappes impies pour venger son seigneur, le baron d’Argelaine.",0.2804395,0.5973054,98,64,1071,3,2137,310,0,0,-1
Seigneur Walden,"Bras droit de Godfrey, l’arrogant seigneur Walden a juré de payer n’importe quel prix, y compris la mort, pour servir son compatriote. Faisant désormais partie des Non-morts, Walden tente de tenir sa parole, attaquant ses adversaires avec de la glace et du venin.",0.5449104,0.53742516,99,64,1073,4,2156,313,0,0,-1
