CustomGossipDescriptionString_lang,CompletedOptionDescriptionString_lang,ID,GossipMenuID,UiTextureKitID
"La Sala di Skoldus è solo uno degli innumerevoli blocchi di celle di Torgast. Il Custode Skoldus impiega bestie, catene e trappole per tormentare i prigionieri e coloro che osano intrufolarsi nel suo dominio.",Ricompensa ricevuta - Completare nuovamente questo blocco fornisce una piccola quantità di Cenere d'Anima aggiuntiva,1,26048,5352
,,2,26191,5336
,,3,26192,5336
"Nelle Stanze delle Fratture vengono spezzate le ossa dei prigionieri di tutte le Terretetre, per poi curarli e ripetere così il crudele ciclo di tortura infinito. Liberali, così che possano cercare vendetta.",Ricompensa ricevuta - Completare nuovamente questo blocco fornisce una piccola quantità di Cenere d'Anima aggiuntiva,4,26375,5354
"Sospesi tra le torreggianti guglie di Torgast, gli Interstizi dei Cuorfreddo sono il luogo dove risiedono i Kyrian Giurafauce. Con attacchi dall'alto, scagliano gli avventati intrusi nell'oscurità sottostante.",Ricompensa ricevuta - Completare nuovamente questo blocco fornisce una piccola quantità di Cenere d'Anima aggiuntiva,5,26377,5355
"Deformi e mutevoli come il terreno stesso, le anime intrappolate all'interno di Mort'regar hanno perso ogni parvenza di ciò che erano un tempo. Le forze del Carceriere le sottopongo a esperimenti necromantici, trasformandole in terribili mostruosità.",Ricompensa ricevuta - Completare nuovamente questo blocco fornisce una piccola quantità di Cenere d'Anima aggiuntiva,6,26378,5353
I Bastioni Superiori sono il dominio dei più devoti servitori del Carceriere. Le forze d'élite dei Giurafauce e dei loro alleati Venthyr pattugliano queste sale e rappresentano le difese più potenti del loro padrone.,Ricompensa ricevuta - Completare nuovamente questo blocco fornisce una piccola quantità di Cenere d'Anima aggiuntiva,7,26379,5357
"Fedeli al loro nome, i Corridoi Contorti si snodano in modo imprevedibile tra gli innumerevoli blocchi di celle di Torgast e sono sorvegliati da ogni tipo di servitore del Carceriere. Coloro che sono tanto intrepidi da avventurarsi nei loro 18 piani di rado ritornano tutti interi.",Ricompensa ricevuta,8,26380,5358
Le anime condannate vengono portate nelle Forge dell'Anima per essere fuse e plasmate in armi e armature per l'esercito del Carceriere. Meglio fare attenzione alle fiamme roventi che imperversano in queste sale.,Ricompensa ricevuta - Completare nuovamente questo blocco fornisce una piccola quantità di Cenere d'Anima aggiuntiva,9,26376,5356
"La Sala di Skoldus è solo uno degli innumerevoli blocchi di celle di Torgast. Il Custode Skoldus impiega bestie, catene e trappole per tormentare i prigionieri e coloro che osano intrufolarsi nel suo dominio.",Ricompensa ricevuta - Completare nuovamente questo blocco fornisce una piccola quantità di Cenere d'Anima aggiuntiva,10,26655,5352
"Nelle Stanze delle Fratture vengono spezzate le ossa dei prigionieri di tutte le Terretetre, per poi curarli e ripetere così il crudele ciclo di tortura infinito. Liberali, così che possano cercare vendetta.",Ricompensa ricevuta - Completare nuovamente questo blocco fornisce una piccola quantità di Cenere d'Anima aggiuntiva,11,26656,5354
Le anime condannate vengono portate nelle Forge dell'Anima per essere fuse e plasmate in armi e armature per l'esercito del Carceriere. Meglio fare attenzione alle fiamme roventi che imperversano in queste sale.,Ricompensa ricevuta - Completare nuovamente questo blocco fornisce una piccola quantità di Cenere d'Anima aggiuntiva,12,26657,5356
"Sospesi tra le torreggianti guglie di Torgast, gli Interstizi dei Cuorfreddo sono il luogo dove risiedono i Kyrian Giurafauce. Con attacchi dall'alto, scagliano gli avventati intrusi nell'oscurità sottostante.",Ricompensa ricevuta - Completare nuovamente questo blocco fornisce una piccola quantità di Cenere d'Anima aggiuntiva,13,26658,5355
"Deformi e mutevoli come il terreno stesso, le anime intrappolate all'interno di Mort'regar hanno perso ogni parvenza di ciò che erano un tempo. Le forze del Carceriere le sottopongo a esperimenti necromantici, trasformandole in terribili mostruosità.",Ricompensa ricevuta - Completare nuovamente questo blocco fornisce una piccola quantità di Cenere d'Anima aggiuntiva,14,26659,5353
