ID,Name_lang,Description_lang,MapID,BackgroundFileDataID,ButtonFileDataID,ButtonSmallFileDataID,LoreFileDataID,Flags,AreaID,CovenantID
63,Мертвые копи,"Говорят, что когда-то казна Штормграда на треть пополнялась из добычи в Мертвых копях, но после ужасных событий Первой войны рудник оказался заброшен. Долгие годы грабители обходили его стороной, побаиваясь слухов о привидениях, пока наконец эти темные лабиринты не захватило братство Справедливости – шайка бывших рабочих, решивших стать на воровской путь. Они превратили рудник в свою базу для осуществления подрывных действий против Штормграда.",36,522336,522352,136332,526404,1,1581,0
64,Крепость Темного Клыка,"На южных склонах Серебряного Бора высится Крепость Темного Клыка, отбрасывая мрачную тень на деревушку Погребальных Костров. Зло бродит среди этих руин, бывших некогда пристанищем сумасшедшего мага Аругала и его воргенов. Беспокойная душа барона Сильверлейна жаждет отмщения, а барон Годфри и его высокородные соратники строят заговоры против своих противников, живых и восставших из мертвых.",33,522342,522358,136357,526410,0,0,0
65,Трон Приливов,"Где-то на загадочных просторах Бездонной пучины находится Трон Приливов, подводное царство великого владыки стихий Нептулона. Долгие годы он защищал свои территории от чужаков, но недавно ему пришлось столкнуться с серьезным противником. Ему угрожает целая армия безжалостных наг и их безликих прислужников, которые намерены изгнать Хозяина Приливов и разорить его владения.",643,522346,522362,460875,526413,1,5382,0
66,Пещеры Черной горы,"Ходят слухи, что Смертокрыл сам построил подземный лабиринт, соединяющий Хиджал с Черной горой. Как бы то ни было, теперь этими туннелями пользуются сектанты Сумеречного Молота для переправки элементалей, и пещеры Черной горы – важный перевалочный пункт этой зловещей транспортной сети. Именно здесь проводятся самые отвратительные эксперименты, превращающие сектантов в сумеречных драконов.",645,522334,522350,460859,526402,1,5374,0
67,Каменные Недра,"Глубоко в Подземье, в самом сердце храма Земли, скрываются Каменные Недра. Именно в этих пещерах сектанты Сумеречного Молота спасали Смертокрыла, скрепляя элементивыеми пластинами разрушающееся тело Аспекта драконов. Когда их труд был закончен, дракон вырвался на поверхность Азерота, разрушив Столп Мира и чуть не уничтожив все Подземье.",725,522344,522360,460872,526412,1,5303,0
68,Вершина Смерча,"Вершина Смерча – истинное украшение обители стихий Небесной выси. Изящные украшенные бронзой и золотом постройки парят в воздухе, соединенные невесомыми мостиками, сплетенными из чистых потоков воздуха… Но за всей этой красотой скрываются зловещие неферсеты и безжалостные прислужники Ал'акира, Владыки Ветра. Смертоносные тучи нависли над Ульдумом, и никто не может чувствовать себя в безопасности, пока границы между Небесной высью и Азеротом остаются открытыми.",657,522345,522361,460873,526414,1,5583,0
69,Затерянный город Тол'вир,"Затерянный город Тол'вир – оплот неферсетов, похожих на кошек существ, заключивших сделку со Смертокрылом. Они поклялись ему в верности в обмен на исцеление от проклятия, обратившего их каменную кожу в мягкую плоть. Вернув свой изначальный облик, тол'виры отвернулись от своего благодетеля, что только подтверждает злобность и вероломность их натуры.",755,522341,522357,460866,526409,1,0,0
70,Чертоги Созидания,"Чертоги Созидания – творение великих титанов, хранилище древних реликвий, охраняемое грозными стражами. Ходят слухи, что в глубине этих залов можно найти главное сокровище – оружие, способное поставить под угрозу существование жизни на Азероте. Именно за ним Смертокрыл отправил своего верного слугу – Ал'акира, Владыку Ветра. Ему удалось разрушить защитные системы комплекса, но пока что главная тайна чертогов остается недосягаемой для Смертокрыла.",644,522340,522356,460865,526408,0,0,0
71,Грим Батол,"Пусть вас не смущает скромный облик Грим Батола: большая часть покоев этой горной крепости находится глубоко под Сумеречным нагорьем. Некогда этим бастионом владели дворфы Громового Молота, но потом крепость захватили орки, превратив ее в темницу для Алекстразы. Теперь же Грим Батол пребывает во власти служителей культа Сумеречного Молота.

Найдутся ли герои, которые отважатся проникнуть в мрачные глубины крепости, чтобы сразиться с прислужниками Смертокрыла и отразить таинственную угрозу?",670,522338,522354,460863,526406,0,0,0
72,Сумеречный бастион,"Сумеречный бастион – мрачный символ безграничной власти древних богов. Под его сводами можно встретить самых верных представителей культа Сумеречного Молота, включая военачальников командного центра и их зловещего предводителя Чо'Галла. Именно отсюда он планирует осуществить смертоносные планы древних богов, истребив всю жизнь на Азероте.",671,522339,522355,460863,526407,0,0,0
