ID,Name_lang,Description_lang,SpecSetID
2,Azeroths unsterbliches Geschenk,,1
3,Sphäre der Unterdrückung,"Voll von wirbelnden schweren arkanen Energien, die Euch ein stärkeres Gefühl der Kontrolle verleihen.",1
4,Resonanz der Weltader,"Als Sargeras Azeroth am Ende der dritten Legionsinvasion verwundete, begann der Planet Azerit zu bluten.",2
5,Essenz der Fokussierungsiris,,160
6,Reinigungsprotokoll,"Nachdem die Verderbnis in Uldir ausgemerzt war, erhielt MUTTER den Auftrag, Wege zu erforschen, um Azeroth wiederherzustellen.",160
7,Anima von Leben und Tod,,1
12,Schmelztiegel der Flammen,"Loderndes Feuer ist eine zerstörerische Kraft, aber auch der Ursprung neuen Lebens.",2
13,Nullifikationsdynamo,"Das Innere fühlt sich völlig frei von Energie und Materie an, und doch schwer.",1
14,Kondensierte Lebenskraft,"Das Herz von Azeroth hat die Fähigkeit, Azerit auf ungeahnte Art und Weise zu beeinflussen.",160
15,Raumwelle,"Jeder Augenblick ist eine Gelegenheit, die richtige Entscheidung zu treffen.",2
16,Unnachgiebiger Schutz,,49
17,Die unerschöpfliche Flut,,49
18,Kunstwerk der Zeit,,49
19,Der Quell des Seins,,49
20,Invokation der Lebensbinderin,,49
21,Vitalitätsverbindung,,49
22,Vision der Perfektion,"Träumt von der Zukunft, konzentriert Euch auf die Gegenwart.",173
23,Blut des Feindes,Euer Herz von Azeroth schäumt vor Wut,160
24,Geist der Bewahrung,,49
25,Aegis der Tiefe,Verleiht Euch den Schutz der Elemente.,1
27,Erinnerung an den Klartraum,Ein leerer Verstand ist ein verschwendetes Werkzeug.,173
28,Die Ungezügelte Kraft,"Zerstörerische Kräfte wirbeln heftig umher und warten nur darauf, freigelassen zu werden.",160
32,Konflikt und Zwietracht,,173
33,Berührung des Ewigwährenden,,1
34,Stärke des Wächters,,1
35,Atem der Sterbenden,,160
36,Inspirierender Funke,,160
37,Die Formlose Leere,,2
