ID,ClientPrefix,ClientFileString,Name_lang,Name_female_lang,Name_lowercase_lang,Name_female_lowercase_lang,Lore_name_lang,Lore_name_female_lang,Lore_name_lower_lang,Lore_name_lower_female_lang,LoreDescription_lang,Short_name_lang,Short_name_female_lang,Short_name_lower_lang,Short_name_lower_female_lang,Flags,FactionID,CinematicSequenceID,ResSicknessSpellID,SplashSoundID,CreateScreenFileDataID,SelectScreenFileDataID,LowResScreenFileDataID,AlteredFormStartVisualKitID[0],AlteredFormStartVisualKitID[1],AlteredFormStartVisualKitID[2],AlteredFormFinishVisualKitID[0],AlteredFormFinishVisualKitID[1],AlteredFormFinishVisualKitID[2],HeritageArmorAchievementID,StartingLevel,UiDisplayOrder,PlayableRaceBit,TransmogrifyDisabledSlotMask,AlteredFormCustomizeOffsetFallback[0],AlteredFormCustomizeOffsetFallback[1],AlteredFormCustomizeOffsetFallback[2],AlteredFormCustomizeRotationFallback,Field_9_1_0_38312_030[0],Field_9_1_0_38312_030[1],Field_9_1_0_38312_030[2],Field_9_1_0_38312_031[0],Field_9_1_0_38312_031[1],Field_9_1_0_38312_031[2],BaseLanguage,CreatureType,Alliance,Race_related,UnalteredVisualRaceID,DefaultClassID,NeutralRaceID,MaleModelFallbackRaceID,MaleModelFallbackSex,FemaleModelFallbackRaceID,FemaleModelFallbackSex,MaleTextureFallbackRaceID,MaleTextureFallbackSex,FemaleTextureFallbackRaceID,FemaleTextureFallbackSex,HelmetAnimScalingRaceID,UnalteredVisualCustomizationRaceID
1,Hu,Human,Человек,Человек,человек,человек,Человек,,человек,,Герои Штормграда всегда сражаются за Альянс в первых рядах против врагов Азерота.,Человек,,человек,,6292620,1,81,15007,1096,623712,131948,651555,0,0,0,47268,47268,47268,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,2,0,1,0,0,-1,0,-1,0,-1,0,3,0,0
2,Or,Orc,Орк,Орчиха,орк,орчиха,Орк,,орк,,Могучие орки прибыли на Азерот как завоеватели – но с тех пор вернулись к своим древним традициям и живут по законам чести.,Орк,,орк,,6291596,2,21,15007,1096,623714,132003,651558,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.077,0,0,0.07,0,1,7,1,1,0,1,0,0,-1,0,-1,0,-1,0,-1,0,0
3,Dw,Dwarf,Дворф,Дворфийка,дворф,дворфийка,Дворф,,дворф,,"Стойкие дворфы из Стальгорна – прославленные исследователи, стремящиеся раскрыть древние тайны мироздания.",Дворф,,дворф,,6291596,3,41,15007,1090,623712,131940,651555,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,7,7,0,8,0,3,0,0,-1,0,-1,0,-1,0,-1,0,0
4,Ni,NightElf,Ночной эльф,Ночная эльфийка,ночной эльф,ночная эльфийка,Калдорай,,калдорай,,Таинственные ночные эльфы защищают дикие земли Азерота от врагов природы.,Эльф,,эльф,,6291588,4,61,15007,1096,623712,131993,651555,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,7,7,0,5,0,11,0,0,-1,0,-1,0,-1,0,-1,0,0
5,Sc,Scourge,Нежить,,нежить,нежить,Отрекшийся,,Отрекшийся,,"Отрекшиеся – воскрешенные мертвецы, которые строят новое будущее на руинах проклятого прошлого.",Нежить,,нежить,,6291596,5,2,15007,1096,623714,132035,651558,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0.1,0,0,0.1,0,1,7,1,4,0,9,0,0,-1,0,-1,0,-1,0,-1,0,0
6,Ta,Tauren,Таурен,Тауренка,таурен,тауренка,Шу'хало,,шу'хало,,"Могучие таурены верно служат своей любимой Матери-Земле, поддерживая равновесие в природе.",Таурен,,таурен,,6291590,6,141,15007,1096,623714,132046,651558,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0.085,0,0,0.085,0,1,7,1,7,0,7,0,0,-1,0,-1,0,-1,0,-1,0,0
7,Gn,Gnome,Гном,Гномка,гном,гномка,Гном,,гном,,"Гномы – миниатюрные гениальные изобретатели, создавшие множество чудесных технологий.",Гном,,гном,,6291596,115,101,15007,1096,623712,430171,651555,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,7,7,0,6,0,9,0,0,-1,0,-1,0,-1,0,-1,0,0
8,Tr,Troll,Тролль,,тролль,тролль,Тролль Черного Копья,,тролль Черного Копья,,"Тролли из племени Черного Копья были изгнаны из своих джунглей враждебными племенами, но нашли союзников в могучей Орде.",Тролль,,тролль,,6291598,116,121,15007,1096,623714,429097,651558,0,0,0,0,0,0,0,1,0,7,0,0,0,0,0,0,0.095,0,0,0.095,0,1,7,1,3,0,7,0,0,-1,0,-1,0,-1,0,-1,0,0
9,Go,Goblin,Гоблин,,гоблин,гоблин,Гоблин из картеля Трюмных Вод,,гоблин из картеля Трюмных Вод,,"Всегда находчивые, часто безрассудные гоблины славятся как умелые инженеры и талантливые торговцы.",Гоблин,,гоблин,,6291716,2204,172,15007,1096,623714,319097,651558,0,0,0,0,0,0,0,1,10,8,0,0,0,0,0,0,0.1,0,0,0.09,0,1,7,1,22,0,4,0,0,-1,0,-1,0,-1,0,-1,0,0
10,Be,BloodElf,Эльф крови,Эльфийка крови,эльф крови,эльфийка крови,Син'дорай,,син'дорай,,"Пережившие страшную войну эльфы крови восстановили свое королевство, черпая силу из волшебного Солнечного Колодца.",Эльф,,эльф,,6291596,1610,162,15007,1096,623714,131921,651558,0,0,0,0,0,0,0,1,9,9,0,0,0,0,0,0,0.087,0,0,0.087,0,1,7,1,11,0,8,0,0,-1,0,-1,0,-1,0,-1,0,0
